Temperature,VibrationX,VibrationY,VibrationZ,Current,Voltage,RPM,MagX,MagY,MagZ,Condition,Timestamp
18.53,-0.007,0.9833,0.0005,0.0,8.32,1347.8,0.336,-0.438,-0.139,Normal,2026-05-14 21:16:14
19.18,-0.0071,0.9832,0.0001,0.0,8.32,1347.8,0.331,-0.451,-0.152,Normal,2026-05-14 21:16:14
19.42,-0.007,0.9834,0.0,0.0,8.32,1330.4,0.347,-0.451,-0.148,Normal,2026-05-14 21:16:14
19.02,-0.0066,0.9834,-0.0001,0.0,8.32,1330.4,0.338,-0.439,-0.136,Normal,2026-05-14 21:16:14
19.1,-0.0071,0.9836,0.0004,0.0,8.3,1330.4,0.348,-0.442,-0.138,Normal,2026-05-14 21:16:14
15.39,-0.007,0.9834,0.0006,0.0,8.33,1330.4,0.334,-0.456,-0.156,Normal,2026-05-14 21:16:14
18.29,-0.0066,0.9834,0.001,0.0,8.31,1313.0,0.337,-0.436,-0.136,Normal,2026-05-14 21:16:15
19.02,-0.0072,0.9836,0.0009,0.0,8.32,1313.0,0.345,-0.438,-0.134,Normal,2026-05-14 21:16:15
18.62,-0.007,0.9837,0.0007,0.0,8.32,1338.0,0.336,-0.44,-0.142,Normal,2026-05-14 21:16:16
18.86,-0.007,0.9834,0.0006,0.0,8.32,1338.0,0.333,-0.455,-0.156,Normal,2026-05-14 21:16:16
17.89,-0.0071,0.9836,0.0007,0.0,8.32,1339.1,0.348,-0.445,-0.143,Normal,2026-05-14 21:16:17
18.21,-0.0066,0.9831,0.0002,0.0,8.32,1339.1,0.336,-0.438,-0.139,Normal,2026-05-14 21:16:18
18.78,-0.0065,0.9831,-0.0001,0.0,8.32,1330.4,0.331,-0.452,-0.153,Normal,2026-05-14 21:16:18
18.53,-0.0067,0.9832,-0.0005,0.0,8.31,1330.4,0.343,-0.44,-0.137,Normal,2026-05-14 21:16:19
19.26,-0.0066,0.9832,-0.0002,0.0,8.32,1329.3,0.333,-0.44,-0.143,Normal,2026-05-14 21:16:19
18.94,-0.0065,0.9831,-0.0002,0.0,8.32,1329.3,0.336,-0.457,-0.157,Normal,2026-05-14 21:16:20
19.26,-0.0063,0.9832,0.0004,0.0,8.31,1338.0,0.339,-0.438,-0.136,Normal,2026-05-14 21:16:20
18.45,-0.007,0.9836,0.0006,0.0,8.31,1338.0,0.335,-0.456,-0.156,Normal,2026-05-14 21:16:21
18.7,-0.0068,0.9833,0.0007,0.0,8.32,1329.3,0.346,-0.442,-0.138,Normal,2026-05-14 21:16:22
18.86,-0.0068,0.9832,0.0005,0.0,8.32,1329.3,0.335,-0.438,-0.14,Normal,2026-05-14 21:16:22
19.34,-0.007,0.9833,0.0005,0.0,8.33,1330.4,0.333,-0.454,-0.155,Normal,2026-05-14 21:16:23
16.76,-0.0072,0.9833,0.0004,0.0,8.31,1330.4,0.347,-0.447,-0.145,Normal,2026-05-14 21:16:23
19.1,-0.0068,0.9833,0.0001,0.0,8.33,1339.1,0.336,-0.438,-0.137,Normal,2026-05-14 21:16:24
19.1,-0.007,0.9833,0.0004,0.0,8.32,1339.1,0.331,-0.449,-0.151,Normal,2026-05-14 21:16:24
18.29,-0.0068,0.9836,0.0002,0.0,8.31,1330.4,0.345,-0.452,-0.152,Normal,2026-05-14 21:16:25
19.34,-0.0063,0.9834,0.0004,0.0,8.32,1330.4,0.34,-0.438,-0.135,Normal,2026-05-14 21:16:26
18.86,-0.0066,0.9834,0.0007,0.0,8.31,1339.1,0.332,-0.446,-0.147,Normal,2026-05-14 21:16:26
19.18,-0.0067,0.9833,0.0005,0.0,8.32,1339.1,0.342,-0.457,-0.156,Normal,2026-05-14 21:16:27
18.53,-0.0066,0.9833,-0.0001,0.0,8.32,1347.8,0.344,-0.439,-0.135,Normal,2026-05-14 21:16:27
18.78,-0.0063,0.9833,0.0,0.0,8.32,1347.8,0.331,-0.45,-0.151,Normal,2026-05-14 21:16:28
19.18,-0.0068,0.9832,-0.0001,0.0,8.3,1329.3,0.343,-0.455,-0.154,Normal,2026-05-14 21:16:28
19.1,-0.0071,0.9836,0.0,0.0,8.31,1329.3,0.329,-0.448,-0.15,Normal,2026-05-14 21:16:29
18.86,-0.007,0.9831,0.0005,0.0,8.32,1311.9,0.342,-0.437,-0.134,Normal,2026-05-14 21:16:30
18.62,-0.0067,0.9833,0.0002,0.0,8.3,1311.9,0.333,-0.455,-0.156,Normal,2026-05-14 21:16:30
18.78,-0.0071,0.9833,0.0,0.0,8.32,1313.0,0.343,-0.438,-0.134,Normal,2026-05-14 21:16:31
18.62,-0.0071,0.983,-0.0012,0.0,8.3,1313.0,0.344,-0.456,-0.155,Normal,2026-05-14 21:16:31
18.86,-0.0065,0.9831,-0.0007,0.0,8.33,1310.8,0.331,-0.442,-0.145,Normal,2026-05-14 21:16:32
18.29,-0.0063,0.9832,-0.0002,0.0,8.32,1310.8,0.348,-0.447,-0.144,Normal,2026-05-14 21:16:32
19.26,-0.0068,0.983,-0.0001,0.0,8.32,1320.6,0.329,-0.453,-0.155,Normal,2026-05-14 21:16:33
18.45,-0.0068,0.9833,0.0002,0.0,8.32,1320.6,0.334,-0.438,-0.14,Normal,2026-05-14 21:16:34
18.21,-0.0067,0.9832,0.0004,0.0,8.32,1320.6,0.347,-0.443,-0.14,Normal,2026-05-14 21:16:34
19.18,-0.0068,0.9833,0.0005,0.0,8.3,1320.6,0.329,-0.446,-0.149,Normal,2026-05-14 21:16:35
18.78,-0.007,0.9832,0.0007,0.0,8.31,1304.3,0.347,-0.44,-0.137,Normal,2026-05-14 21:16:35
18.62,-0.0067,0.9832,0.0006,0.0,8.31,1304.3,0.33,-0.445,-0.148,Normal,2026-05-14 21:16:36
18.94,-0.0065,0.9833,0.001,0.0,8.32,1313.0,0.347,-0.442,-0.138,Normal,2026-05-14 21:16:36
19.18,-0.0071,0.9836,0.001,0.0,8.31,1313.0,0.335,-0.457,-0.157,Normal,2026-05-14 21:16:37
17.0,-0.0071,0.9836,0.001,0.0,8.3,1336.8,0.332,-0.44,-0.143,Normal,2026-05-14 21:16:38
19.1,-0.0065,0.9833,0.001,0.0,8.3,1336.8,0.341,-0.435,-0.134,Normal,2026-05-14 21:16:38
19.42,-0.0066,0.9833,0.0012,0.0,8.3,1328.1,0.348,-0.452,-0.149,Normal,2026-05-14 21:16:39
18.05,-0.0071,0.9837,0.0012,0.0,8.3,1328.1,0.331,-0.439,-0.143,Normal,2026-05-14 21:16:39
21.44,-0.0068,0.9833,0.0011,0.0,8.3,1330.4,0.348,-0.449,-0.147,Normal,2026-05-14 21:16:40
19.34,-0.0067,0.9833,0.0007,0.0,8.3,1330.4,0.332,-0.44,-0.143,Normal,2026-05-14 21:16:41
18.94,-0.0068,0.9833,0.0007,0.0,8.32,1313.0,0.345,-0.455,-0.154,Normal,2026-05-14 21:16:41
19.26,-0.007,0.9833,0.0005,0.0,8.3,1313.0,0.334,-0.437,-0.14,Normal,2026-05-14 21:16:42
19.5,-0.0065,0.9831,0.0,0.0,8.32,1295.7,0.347,-0.453,-0.151,Normal,2026-05-14 21:16:42
18.7,-0.0065,0.9831,0.0002,0.0,8.32,1295.7,0.333,-0.439,-0.141,Normal,2026-05-14 21:16:43
19.34,-0.007,0.9833,0.0,0.0,8.32,1313.0,0.347,-0.455,-0.153,Normal,2026-05-14 21:16:43
19.1,-0.0068,0.9831,0.0,0.0,8.31,1313.0,0.335,-0.44,-0.142,Normal,2026-05-14 21:16:44
19.34,-0.0066,0.983,-0.0006,0.0,8.3,1304.3,0.346,-0.453,-0.151,Normal,2026-05-14 21:16:45
19.1,-0.0066,0.983,-0.0011,0.0,8.32,1304.3,0.33,-0.446,-0.148,Normal,2026-05-14 21:16:45
18.29,-0.0071,0.9833,-0.0007,0.0,8.3,1320.6,0.347,-0.442,-0.138,Normal,2026-05-14 21:16:46
19.5,-0.0067,0.9834,0.0,0.0,8.3,1320.6,0.331,-0.446,-0.148,Normal,2026-05-14 21:16:46
19.02,-0.0065,0.9833,0.0002,0.0,8.3,1304.3,0.347,-0.441,-0.137,Normal,2026-05-14 21:16:47
18.45,-0.0067,0.9836,0.0002,0.0,8.3,1304.3,0.331,-0.453,-0.154,Normal,2026-05-14 21:16:47
18.94,-0.0066,0.9828,-0.001,0.0,8.32,1313.0,0.34,-0.435,-0.134,Normal,2026-05-14 21:16:48
17.49,-0.0065,0.9832,-0.0006,0.0,8.31,1313.0,0.348,-0.449,-0.148,Normal,2026-05-14 21:16:49
19.82,-0.007,0.9831,-0.001,0.0,8.32,1293.4,0.334,-0.456,-0.156,Normal,2026-05-14 21:16:49
18.53,-0.0071,0.9831,-0.0009,0.0,8.32,1293.4,0.334,-0.437,-0.139,Normal,2026-05-14 21:16:50
19.58,-0.0066,0.983,-0.0006,0.0,8.31,1338.0,0.347,-0.453,-0.15,Normal,2026-05-14 21:16:50
19.18,-0.0065,0.983,-0.0004,0.0,8.31,1338.0,0.335,-0.439,-0.14,Normal,2026-05-14 21:16:51
18.94,-0.0071,0.9834,0.0001,0.0,8.3,1321.7,0.341,-0.458,-0.156,Normal,2026-05-14 21:16:51
20.39,-0.0071,0.9833,0.0004,0.0,8.3,1321.7,0.331,-0.446,-0.147,Normal,2026-05-14 21:16:52
18.94,-0.0065,0.9833,0.0002,0.0,8.3,1329.3,0.349,-0.445,-0.141,Normal,2026-05-14 21:16:53
19.34,-0.007,0.9834,0.0009,0.0,8.29,1329.3,0.332,-0.446,-0.147,Normal,2026-05-14 21:16:53
19.26,-0.0071,0.9836,0.0007,0.0,8.3,1304.3,0.347,-0.442,-0.137,Normal,2026-05-14 21:16:54
18.7,-0.0071,0.9834,0.0009,0.0,8.32,1304.3,0.329,-0.449,-0.152,Normal,2026-05-14 21:16:54
19.34,-0.0066,0.9834,0.0005,0.0,8.32,1321.7,0.344,-0.438,-0.134,Normal,2026-05-14 21:16:55
18.7,-0.0068,0.983,-0.0002,0.0,8.3,1321.7,0.331,-0.455,-0.155,Normal,2026-05-14 21:16:55
19.18,-0.0072,0.9828,-0.0011,0.0,8.3,1303.2,0.333,-0.439,-0.14,Normal,2026-05-14 21:16:56
18.45,-0.0066,0.9833,-0.0005,0.0,8.32,1303.2,0.348,-0.448,-0.146,Normal,2026-05-14 21:16:57
19.82,-0.0066,0.9834,-0.0001,0.0,8.31,1303.2,0.331,-0.454,-0.155,Normal,2026-05-14 21:16:57
19.34,-0.0071,0.9833,-0.0002,0.0,8.32,1303.2,0.334,-0.439,-0.14,Normal,2026-05-14 21:16:58
18.45,-0.0067,0.9831,0.0001,0.0,8.29,1302.1,0.347,-0.441,-0.136,Normal,2026-05-14 21:16:58
18.53,-0.0067,0.9832,0.0002,0.0,8.32,1302.1,0.334,-0.458,-0.157,Normal,2026-05-14 21:16:59
19.18,-0.0068,0.9831,-0.0006,0.0,8.3,1313.0,0.341,-0.436,-0.133,Normal,2026-05-14 21:17:00
18.37,-0.0066,0.983,-0.0012,0.0,8.3,1313.0,0.337,-0.458,-0.157,Normal,2026-05-14 21:17:00
19.26,-0.0063,0.9831,-0.0007,0.0,8.3,1329.3,0.332,-0.445,-0.146,Normal,2026-05-14 21:17:01
19.1,-0.007,0.9834,-0.0006,0.0,8.32,1329.3,0.348,-0.447,-0.144,Normal,2026-05-14 21:17:01
17.89,-0.0068,0.9833,-0.0002,0.0,8.3,1320.6,0.334,-0.456,-0.157,Normal,2026-05-14 21:17:02
18.78,-0.0067,0.9834,0.0,0.0,8.32,1320.6,0.34,-0.437,-0.134,Normal,2026-05-14 21:17:02
19.18,-0.007,0.9834,0.0007,0.0,8.3,1304.3,0.334,-0.458,-0.158,Normal,2026-05-14 21:17:03
17.65,-0.007,0.9837,0.0007,0.0,8.31,1304.3,0.337,-0.435,-0.135,Normal,2026-05-14 21:17:04
19.82,-0.0068,0.9836,0.001,0.0,8.3,1321.7,0.34,-0.458,-0.158,Normal,2026-05-14 21:17:04
19.18,-0.0065,0.9833,0.0009,0.0,8.29,1321.7,0.331,-0.441,-0.143,Normal,2026-05-14 21:17:05
20.39,-0.0067,0.9834,0.0006,0.0,8.31,1311.9,0.35,-0.451,-0.148,Normal,2026-05-14 21:17:05
19.34,-0.007,0.9838,0.0,0.0,8.32,1311.9,0.332,-0.446,-0.147,Normal,2026-05-14 21:17:06
19.02,-0.0061,0.9831,0.0002,0.0,8.29,1295.7,0.347,-0.443,-0.14,Normal,2026-05-14 21:17:06
